,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,markcap.datatype,markcap.type,markcap.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,country
83,uri,http://www.wikidata.org/entity/Q7040217,en,literal,Gvaot Winery,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
84,uri,http://www.wikidata.org/entity/Q2777497,en,literal,First International Bank Of Israel Ltd.,http://www.w3.org/2001/XMLSchema#dateTime,literal,1972-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q22687,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,he,literal,הבנק הבינלאומי הראשון לישראל בע''מ,http://www.w3.org/2001/XMLSchema#decimal,literal,15159869000,,,,,,,wd:Q801
85,uri,http://www.wikidata.org/entity/Q4349233,,literal,Q4349233,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-10-14T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q201051,literal,,,,,,,,,,,,,,wd:Q801
86,uri,http://www.wikidata.org/entity/Q96179406,en,literal,Renuar,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q12684,literal,,literal,,literal,,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,1300,,,,wd:Q801
87,uri,http://www.wikidata.org/entity/Q2890642,en,literal,Beit Berl College,http://www.w3.org/2001/XMLSchema#dateTime,literal,1970-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
88,uri,http://www.wikidata.org/entity/Q1151568,en,literal,Channel 10,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q152413,literal,,,,,,,,,,,,,,wd:Q801
89,uri,http://www.wikidata.org/entity/Q123954116,en,literal,Maya Gallery,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
90,uri,http://www.wikidata.org/entity/Q11286604,en,literal,Israel Cleantech Ventures,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q845866,literal,,,,,,,,,,,,,,wd:Q801
91,uri,http://www.wikidata.org/entity/Q319239,en,literal,Tel Aviv University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,,,,,,,wd:Q801
92,uri,http://www.wikidata.org/entity/Q133706,en,literal,Israel Medical Association,http://www.w3.org/2001/XMLSchema#dateTime,literal,1912-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,http://www.wikidata.org/entity/Q56751630,literal,,literal,,,,,,,,,,,,,,wd:Q801
93,uri,http://www.wikidata.org/entity/Q124445202,en,literal,Jeffs' Brands Ltd,http://www.w3.org/2001/XMLSchema#dateTime,literal,2021-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q484847,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
94,uri,http://www.wikidata.org/entity/Q205386,en,literal,World Zionist Organization,http://www.w3.org/2001/XMLSchema#dateTime,literal,1897-08-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q1063076,literal,,literal,"http://www.wikidata.org/entity/Q44003, http://www.wikidata.org/entity/Q62822, http://www.wikidata.org/entity/Q172183, http://www.wikidata.org/entity/Q918966, http://www.wikidata.org/entity/Q1177243, http://www.wikidata.org/entity/Q6746996",literal,http://www.wikidata.org/entity/Q81035,literal,,,,,,,,,,,,,,wd:Q801
95,uri,http://www.wikidata.org/entity/Q7643090,en,literal,Superbus,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q178512,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
96,uri,http://www.wikidata.org/entity/Q156591,en,literal,Yad Vashem,http://www.w3.org/2001/XMLSchema#dateTime,literal,1953-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,he,literal,יד ושם,,,,,,,,,,wd:Q801
97,uri,http://www.wikidata.org/entity/Q10569970,en,literal,Ofek,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
98,uri,http://www.wikidata.org/entity/Q6964191,en,literal,Heschel Sustainability Center,,,,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
99,uri,http://www.wikidata.org/entity/Q244411,en,literal,Bank of Israel,http://www.w3.org/2001/XMLSchema#dateTime,literal,1954-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,http://www.wikidata.org/entity/Q41800340,literal,http://www.wikidata.org/entity/Q1218,literal,,he,literal,בנק ישראל,,,,,,,,,,wd:Q801
100,uri,http://www.wikidata.org/entity/Q601885,en,literal,Oranim Academic College,http://www.w3.org/2001/XMLSchema#dateTime,literal,1951-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
101,uri,http://www.wikidata.org/entity/Q104184699,en,literal,Paamon Books,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
102,uri,http://www.wikidata.org/entity/Q820517,en,literal,Metropoline Public Transportation,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q178512,literal,,literal,,literal,http://www.wikidata.org/entity/Q152436,literal,,,,,,,,,,,,,,wd:Q801
103,uri,http://www.wikidata.org/entity/Q118342557,,literal,Q118342557,,,,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
104,uri,http://www.wikidata.org/entity/Q2890642,en,literal,Beit Berl College,http://www.w3.org/2001/XMLSchema#dateTime,literal,1964-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
105,uri,http://www.wikidata.org/entity/Q7219274,en,literal,Kibbutzim College of Education,http://www.w3.org/2001/XMLSchema#dateTime,literal,1939-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
106,uri,http://www.wikidata.org/entity/Q846655,en,literal,Israel Railways Corporation Ltd,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q7283969,literal,http://www.wikidata.org/entity/Q20757869,literal,,literal,http://www.wikidata.org/entity/Q2440741,literal,,he,literal,"רכבת ישראל בע""מ",,,,http://www.w3.org/2001/XMLSchema#decimal,literal,1900,,,,wd:Q801
107,uri,http://www.wikidata.org/entity/Q64423008,en,literal,Nizachon Restaurant,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
108,uri,http://www.wikidata.org/entity/Q6812624,en,literal,NaNa Disc,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q638,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
109,uri,http://www.wikidata.org/entity/Q17051632,en,literal,Outbrain,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q39809,literal,,literal,,literal,http://www.wikidata.org/entity/Q60,literal,,,,,,,,,,,,,,wd:Q801
110,uri,http://www.wikidata.org/entity/Q6432445,en,literal,Kornit Digital,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q28823,literal,,literal,,literal,http://www.wikidata.org/entity/Q168202,literal,,he,literal,"קורנית דיגיטל בע""מ",,,,,,,,,,wd:Q801
111,uri,http://www.wikidata.org/entity/Q118342558,en,literal,Zadik Gallery,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
112,uri,http://www.wikidata.org/entity/Q117359489,,literal,Q117359489,,,,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
113,uri,http://www.wikidata.org/entity/Q123477404,,literal,Q123477404,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
114,uri,http://www.wikidata.org/entity/Q113882479,en,literal,Capricia Productions,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q1218,literal,,,,,,,,,,,,,,wd:Q801
115,uri,http://www.wikidata.org/entity/Q16129882,en,literal,Ov Publishing,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,,,,,,,wd:Q801
116,uri,http://www.wikidata.org/entity/Q65252368,,literal,Q65252368,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q1285245,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
117,uri,http://www.wikidata.org/entity/Q104418624,,literal,Q104418624,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q41843,literal,,,,,,,,,,,,,,wd:Q801
118,uri,http://www.wikidata.org/entity/Q6087908,en,literal,Isrotel Ltd.,http://www.w3.org/2001/XMLSchema#dateTime,literal,1981-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q27686,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,he,literal,ישרוטל בע''מ,http://www.w3.org/2001/XMLSchema#decimal,literal,5399060000,,,,,,,wd:Q801
119,uri,http://www.wikidata.org/entity/Q898750,en,literal,Teva- Pharmaceutical Industries Ltd.,http://www.w3.org/2001/XMLSchema#dateTime,literal,1944-02-13T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q507443,literal,http://www.wikidata.org/entity/Q115947198,literal,,literal,http://www.wikidata.org/entity/Q2776362,literal,,he,literal,"טבע תעשיות פרמצבטיות בע""מ",http://www.w3.org/2001/XMLSchema#decimal,literal,34782501000,http://www.w3.org/2001/XMLSchema#decimal,literal,42535,,,,wd:Q801
120,uri,http://www.wikidata.org/entity/Q64769225,en,literal,Kimaia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q7397,literal,,literal,,literal,http://www.wikidata.org/entity/Q2889835,literal,,,,,,,,,,,,,,wd:Q801
121,uri,http://www.wikidata.org/entity/Q63529503,en,literal,Daroma Productions,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q1415395,literal,,literal,,literal,http://www.wikidata.org/entity/Q2777722,literal,,,,,,,,,,,,,,wd:Q801
122,uri,http://www.wikidata.org/entity/Q25490608,,literal,Q25490608,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,,,,,,,wd:Q801
123,uri,http://www.wikidata.org/entity/Q43008529,en,literal,VEANVEU,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q484847,literal,,literal,,literal,http://www.wikidata.org/entity/Q213274,literal,,,,,,,,,,,,,,wd:Q801
124,uri,http://www.wikidata.org/entity/Q2908716,en,literal,Israel Bar Association,http://www.w3.org/2001/XMLSchema#dateTime,literal,1961-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,,,,,,,wd:Q801
125,uri,http://www.wikidata.org/entity/Q12411482,en,literal,Reshet,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,,,,,,,wd:Q801
126,uri,http://www.wikidata.org/entity/Q558002,en,literal,Israir Airlines,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,,,,,,,wd:Q801
127,uri,http://www.wikidata.org/entity/Q2915481,en,literal,The Israel Electric Corp. Ltd.,http://www.w3.org/2001/XMLSchema#dateTime,literal,1921-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q1326624,literal,,literal,,literal,http://www.wikidata.org/entity/Q41621,literal,,,,,,,,,,,,,,wd:Q801
128,uri,http://www.wikidata.org/entity/Q111793494,en,literal,Remilk,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-06-14T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q207350,literal,,,,,,,,,,,,,,wd:Q801
129,uri,http://www.wikidata.org/entity/Q2351312,en,literal,"Herzog, Fox & Ne'eman",http://www.w3.org/2001/XMLSchema#dateTime,literal,1972-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q40348,literal,,literal,,literal,"http://www.wikidata.org/entity/Q7185494, http://www.wikidata.org/entity/Q33935",literal,,,,,,,,,,,,,,wd:Q801
130,uri,http://www.wikidata.org/entity/Q117184827,en,literal,The Jewish Journey,,,,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q49389,literal,,literal,,literal,http://www.wikidata.org/entity/Q801,literal,,,,,,,,,,,,,,wd:Q801
131,uri,http://www.wikidata.org/entity/Q16342272,en,literal,Hashaha Theatre,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
132,uri,http://www.wikidata.org/entity/Q25491276,en,literal,Ashan Hazman,,,,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
133,uri,http://www.wikidata.org/entity/Q115120229,en,literal,Cable Express,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q178512,literal,,literal,,literal,http://www.wikidata.org/entity/Q41621,literal,,,,,,,,,,,,,,wd:Q801
134,uri,http://www.wikidata.org/entity/Q2909872,en,literal,Aroma Espresso Bar,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q159,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q862725,literal,,,,,,,,,,,,,,wd:Q801
135,uri,http://www.wikidata.org/entity/Q122876180,,literal,Q122876180,http://www.w3.org/2001/XMLSchema#dateTime,literal,1982-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,,,,,,,wd:Q801
136,uri,http://www.wikidata.org/entity/Q7695595,en,literal,Telad,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q845866,literal,,,,,,,,,,,,,,wd:Q801
137,uri,http://www.wikidata.org/entity/Q420506,en,literal,Wix.com,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,"http://www.wikidata.org/entity/Q1625990, http://www.wikidata.org/entity/Q75",literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,,,,wd:Q801
138,uri,http://www.wikidata.org/entity/Q105355950,en,literal,Crazy Labs,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,,,,,,,wd:Q801
139,uri,http://www.wikidata.org/entity/Q5063615,en,literal,Ceragon,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q418,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,,,,,,,wd:Q801
140,uri,http://www.wikidata.org/entity/Q13612085,en,literal,i24NEWS,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-07-17T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q11030,literal,http://www.wikidata.org/entity/Q3082719,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,,,,,,,wd:Q801
141,uri,http://www.wikidata.org/entity/Q124343800,en,literal,Rail Vision,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q2516512,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
142,uri,http://www.wikidata.org/entity/Q1132126,en,literal,Yedioth Ahronoth,http://www.w3.org/2001/XMLSchema#dateTime,literal,1939-12-11T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,,,,,,,wd:Q801
143,uri,http://www.wikidata.org/entity/Q6613293,en,literal,The Ben Gurion Heritage Institute,http://www.w3.org/2001/XMLSchema#dateTime,literal,1976-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
144,uri,http://www.wikidata.org/entity/Q22948983,en,literal,Astral Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q134762,literal,,,,,,,,,,,,,,wd:Q801
145,uri,http://www.wikidata.org/entity/Q6035779,en,literal,Rami Levi Chain Stores Hashikma Marketing 2006 Ltd,http://www.w3.org/2001/XMLSchema#dateTime,literal,1976-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,http://www.wikidata.org/entity/Q1218,literal,,he,literal,רשת חנויות רמי לוי שיווק השיקמה 2006 בע''מ,http://www.w3.org/2001/XMLSchema#decimal,literal,3366752000,,,,,,,wd:Q801
146,uri,http://www.wikidata.org/entity/Q55708368,en,literal,Lightstream Israel,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,,,,,,,wd:Q801
147,uri,http://www.wikidata.org/entity/Q57981223,en,literal,Hoodies,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-07-05T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,,,,wd:Q801
148,uri,http://www.wikidata.org/entity/Q853619,en,literal,Bezeq The Israeli Telecommunication Corp. Ltd.,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q25245117,literal,,literal,http://www.wikidata.org/entity/Q98012738,literal,http://www.wikidata.org/entity/Q192213,literal,,he,literal,"בזק החברה הישראלית לתקשורת בע""מ",http://www.w3.org/2001/XMLSchema#decimal,literal,17146392000,http://www.w3.org/2001/XMLSchema#decimal,literal,5305,http://www.w3.org/2001/XMLSchema#decimal,literal,1040000000,wd:Q801
149,uri,http://www.wikidata.org/entity/Q115406561,,literal,Q115406561,http://www.w3.org/2001/XMLSchema#dateTime,literal,2022-09-04T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
150,uri,http://www.wikidata.org/entity/Q7431699,en,literal,Schlesinger Institute,http://www.w3.org/2001/XMLSchema#dateTime,literal,1966-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
151,uri,http://www.wikidata.org/entity/Q25492676,en,literal,Yochananof,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,he,literal,מ.יוחננוף ובניו (1988) בע''מ,http://www.w3.org/2001/XMLSchema#decimal,literal,2948280000,,,,,,,wd:Q801
152,uri,http://www.wikidata.org/entity/Q50385783,en,literal,Kol Chai Music,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-12-10T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q152467,literal,,,,,,,,,,,,,,wd:Q801
153,uri,http://www.wikidata.org/entity/Q18191994,en,literal,Max Stock Ltd.,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,he,literal,מקס סטוק בע''מ,http://www.w3.org/2001/XMLSchema#decimal,literal,700205000,,,,,,,wd:Q801
154,uri,http://www.wikidata.org/entity/Q12404180,en,literal,ACUM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1936-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q728265,literal,,literal,,literal,http://www.wikidata.org/entity/Q192807,literal,,he,literal,אגודת קומפוזיטורים מחברים ומולים למוסיקה בישראל,,,,,,,,,,wd:Q801
155,uri,http://www.wikidata.org/entity/Q105690872,en,literal,Next-Pro,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
156,uri,http://www.wikidata.org/entity/Q110739707,en,literal,GOOD PHARM,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
157,uri,http://www.wikidata.org/entity/Q4382269,en,literal,Council for Higher Education in Israel,http://www.w3.org/2001/XMLSchema#dateTime,literal,1958-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1218,literal,,,,,,,,,,,,,,wd:Q801
158,uri,http://www.wikidata.org/entity/Q4902449,en,literal,Bialik Institute,http://www.w3.org/2001/XMLSchema#dateTime,literal,1935-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q16023725,literal,,literal,http://www.wikidata.org/entity/Q2661879,literal,http://www.wikidata.org/entity/Q1218,literal,,,,,,,,,,,,,,wd:Q801
159,uri,http://www.wikidata.org/entity/Q97207539,en,literal,gnat,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
160,uri,http://www.wikidata.org/entity/Q25496011,en,literal,Israeli Public Broadcasting Corporation,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,http://www.wikidata.org/entity/Q16132035,literal,http://www.wikidata.org/entity/Q1218,literal,,,,,,,,,,,,,,wd:Q801
161,uri,http://www.wikidata.org/entity/Q97220286,en,literal,Teva Deli,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q2836940,literal,,literal,,literal,http://www.wikidata.org/entity/Q152396,literal,,,,,,,,,,,,,,wd:Q801
162,uri,http://www.wikidata.org/entity/Q6658413,en,literal,Eked,http://www.w3.org/2001/XMLSchema#dateTime,literal,1958-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
163,uri,http://www.wikidata.org/entity/Q2910545,en,literal,Keshet,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q1727518,literal,,literal,,literal,http://www.wikidata.org/entity/Q801,literal,,,,,,,,,,,,,,wd:Q801
