,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,country
87,uri,http://www.wikidata.org/entity/Q2007643,en,literal,Riga Stradiņš University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1950-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,lt,literal,Rīgas Stradiņa universitāte,,,,,,,wd:Q211
88,uri,http://www.wikidata.org/entity/Q327094,en,literal,Latvian Railways,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-10-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q29585638,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,6265,,,,,,,,,,wd:Q211
89,uri,http://www.wikidata.org/entity/Q4036868,,literal,Q4036868,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
90,uri,http://www.wikidata.org/entity/Q116265936,en,literal,Latvia State Radio and Television Center,,,,uri,http://www.wikidata.org/entity/Q211,literal,"http://www.wikidata.org/entity/Q25245117, http://www.wikidata.org/entity/Q5892272, http://www.wikidata.org/entity/Q11371",literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,265,,,,,,,,,,wd:Q211
91,uri,http://www.wikidata.org/entity/Q498407,en,literal,University of Latvia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1919-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,ru,literal,Латвийский университет,,,,,,,wd:Q211
92,uri,http://www.wikidata.org/entity/Q498407,en,literal,University of Latvia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1919-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,lv,literal,Rīgas Universitāte,,,,,,,wd:Q211
93,uri,http://www.wikidata.org/entity/Q498407,en,literal,University of Latvia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1919-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,ru,literal,Рижский университет,,,,,,,wd:Q211
94,uri,http://www.wikidata.org/entity/Q110783691,,literal,Q110783691,,,,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
95,uri,http://www.wikidata.org/entity/Q796010,en,literal,BITĖ Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q216,literal,,,,,,,,,,,,,,wd:Q211
96,uri,http://www.wikidata.org/entity/Q62562792,en,literal,BENU,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q403,literal,http://www.wikidata.org/entity/Q13107184,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
97,uri,http://www.wikidata.org/entity/Q16350294,,literal,Q16350294,,,,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
98,uri,http://www.wikidata.org/entity/Q54862612,en,literal,Soaphog Game Studio,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
99,uri,http://www.wikidata.org/entity/Q913580,en,literal,MIKROTĪKLS,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-03-14T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q29584595,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,en,literal,MikroTik,,,,,,,wd:Q211
100,uri,http://www.wikidata.org/entity/Q498407,en,literal,University of Latvia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1919-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,lv,literal,Latvijas Valsts universitāte,,,,,,,wd:Q211
